website,registrar,dnssec,ssl,phishing,price,updated_date_diff,expiration_date_diff,len_name_servers,emails_verify,result
24car.in,"GoDaddy.com, LLC",0,1,1,0.3,-18,345,2,0,0
advanceholidays.in,"GoDaddy.com, LLC",0,1,1,0.3,-212,148,2,0,0
atharvaorganic.com,"GoDaddy.com, LLC",0,1,0,0.3,-11,383,2,0,0
chaipartner.in,"GoDaddy.com, LLC",0,1,1,0.3,-128,407,2,0,0
dhrumanplastindia.com,"GoDaddy.com, LLC",0,1,0,0.3,-127,179,2,0,0
doorstepshopping.co.in,"GoDaddy.com, LLC",0,1,0,0.3,-84,303,2,0,0
gj5fashion.in,"GoDaddy.com, LLC",0,1,1,0.3,-476,3171,2,0,0
gopendranamkeen.com,"GoDaddy.com, LLC",0,1,0,0.3,-126,532,2,0,0
greenskyimpex.com,"GoDaddy.com, LLC",0,1,0,0.3,-121,49,2,0,0
indianchhori.com,"GoDaddy.com, LLC",0,1,0,0.3,-121,50,2,0,0
jaybajrangautomobiles.com,"GoDaddy.com, LLC",0,1,0,0.3,-110,251,2,0,0
kaalifashion.com,"GoDaddy.com, LLC",0,1,0,0.3,-74,301,2,0,0
kosamba.in,,0,0,1,0.3,,,,0,0
lotusmop.in,"GoDaddy.com, LLC",0,1,1,0.3,-53,301,2,0,0
saienergysaver.com,"GoDaddy.com, LLC",0,1,0,0.3,-58,298,2,0,0
satsangpravah.in,"GoDaddy.com, LLC",0,1,1,0.3,-366,1424,2,0,0
shreekrishnafabrication.com,"GoDaddy.com, LLC",0,0,0,0.3,-15,337,2,0,0
skylineindustriesexport.com,"GoDaddy.com, LLC",0,1,0,0.3,-135,681,2,0,0
squarestudiodesigns.com,"GoDaddy.com, LLC",0,0,0,0.3,-25,328,2,0,0
sumanlabs.in,"GoDaddy.com, LLC",0,1,1,0.3,-243,100,2,0,0
Tawarenterprise.com,"GoDaddy.com, LLC",0,1,0,0.3,-192,173,2,0,0
theorangeevents.in,"GoDaddy.com, LLC",0,1,1,0.3,-156,47,2,0,0
vaisan.in,"GoDaddy.com, LLC",0,1,1,0.3,-118,218,2,0,0
zenophily.com,"GoDaddy.com, LLC",0,1,0,0.3,-125,121,2,0,0
shopiiee.com,DYNADOT LLC,0,0,0,0.3,-369,41,4,1,0
white-stones.in,,0,0,1,0.3,,,,0,0
jollyfashion.in,,0,0,1,0.3,,,,0,0
fabricmaniaa.com,,0,0,0,0.3,,,,0,0
takesaree.com,"GoDaddy.com, LLC",0,0,0,0.3,-249,103,2,0,0
assuredkart.in,Dynadot LLC,0,0,1,0.3,-62,-62,2,0,0
